2025-04-13 20:19:03,651 - websocket-server - INFO - Python version: 3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, 10:07:17) [Clang 14.0.6 ]
2025-04-13 20:19:03,651 - websocket-server - INFO - Websockets version: 14.1
2025-04-13 20:19:03,651 - websocket-server - INFO - Starting WebSocket server for browser clients on port 9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Server running at ws://localhost:9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Press Ctrl+C to stop the server
2025-04-13 20:19:12,351 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52180)-4421084048
2025-04-13 20:19:12,351 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52180)-4421084048
2025-04-13 20:19:12,662 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52182)-4421085488
2025-04-13 20:19:12,662 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52182)-4421085488
2025-04-13 20:19:12,678 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52184)-4421086928
2025-04-13 20:19:12,678 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52184)-4421086928
2025-04-13 20:19:12,734 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52186)-4421088368
2025-04-13 20:19:12,735 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52186)-4421088368
2025-04-13 20:19:12,826 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52192)-4421089760
2025-04-13 20:19:12,826 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52192)-4421089760
2025-04-13 20:19:12,910 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52194)-4421091200
2025-04-13 20:19:12,910 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52194)-4421091200
2025-04-13 20:19:12,951 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52196)-4421207392
2025-04-13 20:19:12,951 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52196)-4421207392
2025-04-13 20:19:12,980 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52198)-4421208832
2025-04-13 20:19:12,980 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52198)-4421208832
2025-04-13 20:19:13,084 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52200)-4421210272
2025-04-13 20:19:13,085 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52200)-4421210272
2025-04-13 20:19:13,096 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52202)-4421211712
2025-04-13 20:19:13,096 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52202)-4421211712
2025-04-13 20:19:13,263 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52204)-4421213152
2025-04-13 20:19:13,263 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52204)-4421213152
2025-04-13 20:19:13,275 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52206)-4421214592
2025-04-13 20:19:13,275 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52206)-4421214592
2025-04-13 20:19:13,363 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52208)-4421216032
2025-04-13 20:19:13,364 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52208)-4421216032
2025-04-13 20:19:13,377 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52210)-4421217424
2025-04-13 20:19:13,377 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52210)-4421217424
2025-04-13 20:19:13,597 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52212)-4421218864
2025-04-13 20:19:13,597 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52212)-4421218864
2025-04-13 20:19:13,735 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52214)-4421220304
2025-04-13 20:19:13,735 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52214)-4421220304
2025-04-13 20:19:13,909 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52220)-4421221744
2025-04-13 20:19:13,909 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52220)-4421221744
2025-04-13 20:19:13,940 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52222)-4421403472
2025-04-13 20:19:13,940 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52222)-4421403472
2025-04-13 20:19:14,059 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52224)-4421404912
2025-04-13 20:19:14,059 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52224)-4421404912
2025-04-13 20:19:14,071 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52226)-4421406352
2025-04-13 20:19:14,071 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52226)-4421406352
2025-04-13 20:19:14,087 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52228)-4421407792
2025-04-13 20:19:14,087 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52228)-4421407792
2025-04-13 20:19:14,147 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52230)-4421409184
2025-04-13 20:19:14,147 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52230)-4421409184
2025-04-13 20:19:14,185 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52232)-4421410576
2025-04-13 20:19:14,185 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52232)-4421410576
2025-04-13 20:19:14,226 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52234)-4421411968
2025-04-13 20:19:14,227 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52234)-4421411968
2025-04-13 20:19:14,238 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52236)-4421413360
2025-04-13 20:19:14,238 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52236)-4421413360
2025-04-13 20:19:14,249 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52238)-4421414752
2025-04-13 20:19:14,249 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52238)-4421414752
2025-04-13 20:19:14,292 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52240)-4421416192
2025-04-13 20:19:14,292 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52240)-4421416192
2025-04-13 20:19:14,304 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52242)-4421417632
2025-04-13 20:19:14,304 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52242)-4421417632
2025-04-13 20:19:14,330 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52244)-4421582976
2025-04-13 20:19:14,330 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52244)-4421582976
2025-04-13 20:19:14,473 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52246)-4421584416
2025-04-13 20:19:14,474 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52246)-4421584416
2025-04-13 20:19:14,498 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52248)-4421585856
2025-04-13 20:19:14,498 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52248)-4421585856
